,feature,value
302,city.MEDIAN(clients.revenue1),0.022020872355338193
303,change.MEAN(clients.salescost1),0.0
304,kind.MEDIAN(clients.interest1),0.0007746958213053686
305,change.MEDIAN(clients.noi1),0.0
306,city.MEDIAN(clients.tanAsset2),0.0029496444891245893
307,kind.SUM(clients.revenue2),0.001403992123227133
308,change.MEDIAN(clients.salescost1),0.0
309,change.STD(clients.debt2),8.273506744248907e-05
310,change.STD(clients.OnonCAsset2),7.104354914288891e-05
311,change.STD(clients.revenue1),0.0029931910488992753
312,city.SUM(clients.liquidAsset2),0.008160692336421704
313,kind.MEDIAN(clients.tanAsset2),0.005317654413478163
314,kind.STD(clients.longLoan1),0.006085107441648284
315,kind.STD(clients.tanAsset2),0.0017739355054525088
316,change.STD(clients.sgg),0.0002457563844789447
317,kind.SUM(clients.salary1),0.00028186381953664025
318,change.STD(clients.interest1),0.0
319,kind.STD(clients.liquidAsset1),0.005517807142330717
320,change.MEAN(clients.profit2),0.0
321,city.STD(clients.salary2),0.05035380707445254
322,change.MEDIAN(clients.ctax2),0.0003711000934113147
323,city.MEDIAN(clients.noi2),0.00529977699881022
324,change.STD(clients.nonCAsset2),0.0
325,city.MEAN(clients.sga1),0.005582502323734911
326,kind.SUM(clients.netAsset2),0.00043494430011074375
327,change.STD(clients.shortLoan1),0.00020902503441080217
328,city.STD(clients.ctax2),0.006250631785195927
329,kind.STD(clients.noi2),5.155257210784993e-05
330,kind.MEDIAN(clients.interest2),0.008238689799009762
331,city.STD(clients.liquidAsset2),0.00440705393888437
332,change.MEDIAN(clients.debt2),0.0
333,kind.MODE(clients.ownerChange) = same,0.0
334,kind.MODE(clients.ownerChange) = unknown,0.0
335,kind.MEDIAN(clients.NCLiabilities1),0.0027978457983808464
336,change.MEAN(clients.longLoan2),0.0
337,kind.SUM(clients.noe1),0.0016524141266437444
338,kind.STD(clients.receivableS1),0.0017639997474881016
339,kind.SUM(clients.profit2),0.0008153752671193132
340,city.STD(clients.debt1),0.007405310889113271
341,kind.STD(clients.shortLoan1),0.00028739557295011966
342,kind.MEDIAN(clients.netAsset2),0.0076090457584030964
343,kind.SUM(clients.surplus1),0.003971406638389379
344,city.SUM(clients.noi2),0.006820115557940986
345,city.STD(clients.OnonCAsset2),0.007824329117358243
346,city.MEAN(clients.sga2),0.019768185153146847
347,city.MEDIAN(clients.longLoan2),0.031267916997193355
348,city.SUM(clients.salescost2),0.01629579158506116
349,kind.MEAN(clients.liquidLiabilities1),0.0034284517264161108
350,city.MEDIAN(clients.noe2),0.008174609698812473
351,city.SUM(clients.revenue1),0.007139511151251011
352,change.SUM(clients.sga2),0.0007320037994777755
353,change.MEAN(clients.interest1),0.0005057929471715112
354,change.MEAN(clients.nonCAsset1),0.00017334033226907756
355,city.SUM(clients.debt2),0.01703363791777721
356,change.STD(clients.inventoryAsset1),0.00014666485408395118
357,change.STD(clients.receivableS1),9.140660373630303e-05
358,change.MEDIAN(clients.liquidLiabilities2),0.0
359,kind.SUM(clients.noe2),0.0007270805577952074
360,city.STD(clients.sgg),0.00971714375807886
361,change.SUM(clients.debt2),0.0
362,city.STD(clients.liquidAsset1),0.0021611762282832615
363,city.MEAN(clients.NCLiabilities2),0.01141311138904765
364,change.MEDIAN(clients.NCLiabilities1),0.0
365,kind.MEDIAN(clients.shortLoan2),0.004704731298782273
366,city.MEDIAN(clients.shortLoan2),0.01812543316714526
367,city.MEAN(clients.OnonCAsset2),0.05125430055588166
368,change.MEAN(clients.OnonCAsset2),0.00014490107595813883
369,change.STD(clients.tanAsset1),0.0010602872333139227
370,city.STD(clients.quickAsset1),0.00130399057605789
371,change.SUM(clients.NCLiabilities2),0.0
372,change.SUM(clients.interest1),7.104354914288891e-05
373,change.SUM(clients.nonCAsset1),0.00017156601018181332
374,change.MEAN(clients.interest2),0.0
375,city.MEAN(clients.liquidLiabilities2),0.010906003720984356
376,city.SUM(clients.salary1),0.009320195449314863
377,kind.STD(clients.ctax2),0.005206894548628998
378,city.MEDIAN(clients.OnonCAsset2),0.002181722659820768
379,kind.SUM(clients.sga2),0.0
380,change.MEDIAN(clients.inventoryAsset2),0.0
381,city.STD(clients.profit2),0.004890900058285834
382,city.SUM(clients.shortLoan1),0.018933825417029884
383,kind.MEDIAN(clients.noe2),0.010373596662961494
384,kind.MEAN(clients.OnonCAsset1),0.0035153931204126173
385,city.MEAN(clients.netAsset1),0.010932375612067698
386,kind.MEAN(clients.salescost2),0.0003267337499974787
387,city.MEAN(clients.noe2),0.003124279645781081
388,city.SUM(clients.liquidLiabilities1),0.0022403658030364973
389,city.STD(clients.sga2),0.01256168260522525
390,kind.SUM(clients.receivableL2),0.004886585238782623
391,kind.MEAN(clients.noe1),0.0018132930917920172
392,kind.MEAN(clients.NCLiabilities1),0.0035534059835289926
393,kind.SUM(clients.surplus2),0.0001717519827641624
394,city.MEDIAN(clients.salescost2),0.032664105504233494
395,kind.MEDIAN(clients.longLoan2),0.002263066747123395
396,change.STD(clients.sga2),0.0004385197427988732
397,kind.MEAN(clients.bedCount),0.0009676280917459676
398,city.MEAN(clients.nonCAsset2),0.004492275088662501
399,city.MEDIAN(clients.revenue2),0.013700594006452424
400,city.MEAN(clients.longLoan1),0.011257440993669942
401,kind.SUM(clients.NCLiabilities2),0.0030906290079471643
402,kind.STD(clients.revenue1),0.003011020638181638
403,change.STD(clients.inventoryAsset2),0.0001670521497344051
404,change.MEAN(clients.noi1),7.335918914812236e-05
405,kind.SUM(clients.inventoryAsset1),0.0
406,change.MEDIAN(clients.OnonCAsset1),0.0
407,change.SUM(clients.tanAsset2),0.0
408,city.STD(clients.surplus2),0.03216930345199189
409,change.MEDIAN(clients.inventoryAsset1),0.0
410,change.MEAN(clients.quickAsset1),0.0
411,change.MEDIAN(clients.noe1),0.00016027148983947155
412,city.MEAN(clients.profit2),0.011850351160058678
413,kind.MEDIAN(clients.profit2),0.0025497429744442603
414,change.MEAN(clients.sgg),7.83726802319534e-05
415,change.STD(clients.liquidLiabilities1),0.0
416,change.MEDIAN(clients.profit2),0.000241467321369559
417,kind.MEAN(clients.revenue2),0.003554049989022823
418,kind.SUM(clients.nonCAsset1),0.0011363334667094014
419,change.SUM(clients.liquidAsset1),0.0
420,change.MEDIAN(clients.quickAsset2),0.0
421,city.MEAN(clients.liquidAsset2),0.005132918432126024
422,change.MEAN(clients.noe1),0.0027718042616866456
423,change.MEAN(clients.sga1),0.0
424,kind.MEAN(clients.salary2),0.0068225145227252485
425,city.MEDIAN(clients.netAsset2),0.011444342672500826
426,kind.SUM(clients.OnonCAsset2),0.0021769773846485618
427,kind.MEAN(clients.quickAsset2),0.0016865521093838037
428,change.MEAN(clients.liquidLiabilities1),0.0
429,city.MEDIAN(clients.debt1),0.013022273821224555
430,city.STD(clients.profit1),0.002493550083935111
431,kind.MEDIAN(clients.sga1),0.003119087523663047
432,change.STD(clients.quickAsset1),0.00047497243411928885
433,kind.SUM(clients.longLoan1),0.0
434,kind.MEDIAN(clients.inventoryAsset1),0.0011068066695965116
435,city.STD(clients.interest1),0.013871182282830172
436,change.MEAN(clients.noi2),7.409119898606731e-05
437,city.MEDIAN(clients.interest2),0.014867993380676778
438,kind.STD(clients.longLoan2),0.0018706810021445384
439,change.MEAN(clients.ctax1),7.86748110013273e-05
440,city.SUM(clients.longLoan1),0.0028410126521942435
441,city.SUM(clients.profit2),0.006602324313216613
442,kind.MEAN(clients.debt2),0.006475794726662083
443,kind.MEAN(clients.salary1),0.005273247876651706
444,change.STD(clients.nonCAsset1),0.00026161969667591394
445,city.STD(clients.OnonCAsset1),0.005142466546948767
446,change.MEAN(clients.quickAsset2),0.0
447,change.STD(clients.NCLiabilities2),0.000157990546788349
448,change.MEAN(clients.netAsset2),0.0
